region,district,hospital_name,outside_branches,land_area_built,design_capacity,vacant_land_area,building_count,floors,wall_material,wall_condition,roof_material,roof_condition,window_condition,floor_condition,door_condition,toilet_water_supply,electricity_supply,has_generator,has_solar_panels,internal_electric_condition,lighting_condition,heating_source,heating_condition,has_water,drinking_water_source,has_fence,internet_type,fire_safety,has_cctv,has_transport_nearby,recent_repairs,earthquake_safe,restroom_location,restroom_water_condition,restroom_has_sewage,restroom_doors,restroom_handwash_available,restroom_sewage_issues,restroom_water_issues,restroom_light_safe,is_warm_in_winter,has_water_pipeline,satisfaction,total_staff,medical_staff,visitor_count,bed_capacity,age_score,population_score,infrastructure_score,resources_score
Samarkand,Kattakurgan city,Hospital_001,0.0,1.0,50,1.0,0.3,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,1.0,0.0,0.5,1.0,0.5,1.0,0.4,0.6,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.7501770232367073,0.591055042007389,1.0,0.591055042007389,1.0,0.64,3.88,0.64
Samarkand,Bulungur district,Hospital_002,0.0,1.0,120,0.3,0.3,0.6,0.8,1.0,0.6,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.7,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.6,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03621409961256176,0.006884337293425611,250.0,0.006884337293425611,1.0,0.02,8.22,0.81
Samarkand,Jomboy district,Hospital_003,1.0,0.5,60,0.7,1.0,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0004149240560717516,0.00010339373998603964,10183.0,0.00010339373998603964,1.0,0.0,4.59,0.94
Samarkand,Narpay district,Hospital_004,0.0,0.5,120,0.3,0.3,0.6,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,8.22,0.84
Samarkand,Kattakurgan district,Hospital_006,0.6,0.5,125,0.3,0.6,0.3,0.3,0.4,0.8,0.5,0.5,0.5,0.5,1.0,0.5,0.0,0.0,0.0,0.6,1.0,0.0,1.0,1.0,1.0,0.0,0.5,0.0,1.0,0.0,0.5,1.0,0.4,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.060013051333901314,0.01779021083300795,75.0,0.01779021083300795,0.6,0.03,8.24,0.5
Samarkand,Qushrabat district,Hospital_007,0.0,0.5,120,0.7,0.3,0.6,0.8,0.4,0.8,0.5,0.5,0.5,0.5,0.0,1.0,0.0,0.0,0.5,1.0,1.0,1.0,0.0,0.4,0.0,0.0,0.5,1.0,0.5,0.0,0.0,0.4,0.4,0.6,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.05016871792026401,0.01882460426665422,53.0,0.01882460426665422,0.2,0.03,7.89,0.47
Samarkand,Nurabad district,Hospital_008,0.0,0.5,120,0.3,0.3,0.6,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.6,0.5,1.0,0.5,0.7,1.0,1.0,1.0,0.6,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.03762896439317701,0.0,70.0,0.0,1.0,0.01,8.2,0.74
Samarkand,Samarkand city,Hospital_009,0.0,0.5,120,0.3,0.3,0.6,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,1.0,1.0,0.6,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0005440811363534755,0.00022880051144179192,115000.0,0.00022880051144179192,1.0,0.0,8.12,0.73
Samarkand,Payarik district,Hospital_010,0.0,0.5,75,0.3,0.3,0.6,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3,1.0,1.0,1.0,1.0,0.5,0.4,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,0.05230065842413782,0.0,53.0,0.0,0.8,0.02,5.33,0.85
Samarkand,Urgut district,Hospital_011,0.6,0.5,140,0.3,0.3,0.6,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,9.48,0.88
