region,district,kindergarten_name,outside_branches,group_count,land_area_built,external_sweeping_area,internal_cleaning_area,garden_area,leased_garden_area,design_capacity,vacant_land_area,educational_building_count,floor_count,wall_material,wall_condition,roof_material,roof_condition,window_condition,floor_condition,door_condition,sports_equipment_available,assembly_hall_condition,kitchen_condition,kitchen_water_supply,electricity_condition,has_generator,has_solar_panels,internal_electrical_condition,lighting_condition,heating_source,heating_fuel_source,boiler_room_condition,internal_heating_condition,water_availability,drinking_water_source,has_fence,internet_type,internet_usage,fire_safety_available,has_cctv,has_public_transport_nearby,accessible_for_disabled,repaired_or_reconstructed,total_students,earthquake_safety,restroom_location,restroom_water_condition,restroom_connected_to_sewage,staff_total,restroom_doors_partitions,restroom_handwash_water_soap,restroom_sewage_issues,restroom_water_issues,restroom_lighting_safe,classrooms_warm_in_winter,indoor_pipeline_installed,children_walk_more_than_3km,meets_modern_infrastructure,satisfied_with_condition,age_score,total_population,utilization_ratio,population_score,infrastructure_score,resources_score,latitude,longitude,need_category,predicted_need_Category
Samarkand,Ishtihan district,kindergarten_1,0.0,0.2,1.0,0.3,0.3,0.3,0.0,50,1.0,0.3,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,1.0,1.0,1.0,0.7,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.0,0.8,0.5,1.0,80,0.5,0.8,0.3,0.5,6,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,86,1.72,0.0,0.62,0.64,39.8371,66.4843,RED,RED
Samarkand,Jomboy district,kindergarten_2,0.0,0.2,1.0,0.8,0.8,0.8,0.0,120,0.3,0.3,0.6,0.8,1.0,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,1.0,1.0,0.8,0.7,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,100,1.0,0.8,1.0,0.5,3,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,103,0.8583333333333333,1.0,0.75,0.81,39.69889,67.09333,GREEN,GREEN
Samarkand,Bulungur district,kindergarten_5,1.0,0.2,0.5,0.6,0.6,1.0,0.0,60,0.7,1.0,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.7,1.0,1.0,1.0,0.8,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,60,1.0,0.8,0.5,0.5,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,61,1.0166666666666666,0.25,0.76,0.92,39.7573054,67.27287,GREEN,GREEN
Samarkand,Kattakurgan district,kindergarten_7,0.0,0.2,0.5,0.8,0.0,0.0,0.0,120,0.3,0.3,0.6,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,105,1.0,1.0,1.0,1.0,0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9,1.0,1.0,1.0,105,0.875,0.97,0.63,0.83,39.89716,66.27242,YELLOW,YELLOW
Samarkand,Narpay district,kindergarten_10,0.6,0.4,0.5,0.3,0.3,0.3,0.0,125,0.3,0.6,0.3,0.4,0.5,0.8,0.5,0.5,0.5,0.5,0.5,0.0,0.5,1.0,0.5,0.0,0.0,0.0,0.5,1.0,0.7,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5,0.0,1.0,0.5,0.0,124,0.5,0.8,0.3,0.0,6,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.7,0.5,1.0,0.6,130,1.04,0.16,0.43,0.47,39.9223,65.925,RED,RED
Samarkand,Payarik district,kindergarten_12,0.0,1.0,0.5,0.3,0.3,0.3,0.0,120,0.7,0.3,0.6,0.8,0.5,0.8,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.0,1.0,0.0,0.0,0.5,1.0,1.0,0.7,1.0,1.0,0.0,0.5,0.0,0.0,0.0,0.5,1.0,0.8,0.0,0.0,70,0.0,0.4,0.3,0.5,5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.7,0.0,0.0,0.2,75,0.625,0.08,0.36,0.48,39.98917,66.84583,RED,RED
Samarkand,Oqdaryo district,kindergarten_13,0.0,0.2,0.5,0.8,0.0,0.0,0.0,120,0.3,0.3,0.6,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.7,1.0,1.0,1.0,0.0,1.0,0.5,0.5,0.5,1.0,0.8,0.0,0.8,120,1.0,0.8,1.0,0.5,4,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.4,1.0,1.0,1.0,124,1.0333333333333334,0.19,0.62,0.69,39.9092,67.0916,YELLOW,YELLOW
Samarkand,Taylak district,kindergarten_14,0.0,0.2,0.5,1.0,0.8,0.6,0.0,120,0.3,0.3,0.6,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.2,1.0,1.0,0.5,0.0,0.0,1.0,1.0,1.0,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,120,0.5,0.8,1.0,0.5,4,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.7,1.0,1.0,1.0,124,1.0333333333333334,0.19,0.64,0.72,39.6575,67.2353,YELLOW,YELLOW
Samarkand,Qushrabat district,kindergarten_15,0.0,0.2,0.5,0.6,0.6,1.0,0.0,75,0.3,0.3,0.6,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3,1.0,1.0,1.0,0.7,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,65,1.0,0.8,1.0,0.5,16,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.4,1.0,1.0,0.8,81,1.08,0.07,0.68,0.82,40.3333,66.5,YELLOW,YELLOW
Samarkand,Samarkand district,kindergarten_16,0.6,0.4,0.5,0.8,0.8,0.6,0.0,140,0.3,0.3,0.6,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6,150,1.0,0.8,1.0,1.0,8,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.7,0.0,1.0,1.0,158,1.1285714285714286,0.02,0.71,0.84,39.65417,66.95972,YELLOW,YELLOW
