id,region,district,school_name,usage %,population_score,sports_equipment,drinking_water,generator,solar_panels,heating_system_x,fuel_source,water,drinking_water_supply,internet_connection,internet_usage,fire_safety,video_surveillance,public_transport,musculoskeletal_disorders_facilities,restroom_location,restroom_stalls,handwashing,restroom_safe,restroom_connection,classrooms_warm,water_pipeline,resources_score,wall_material,wall_condition,roof_material,roof_condition,windows_condition,floor_condition,door_condition,library_condition,gym_condition,stadium_condition,hall_condition,kitchen_condition,electrical_system,lighting_system,boiler_condition,heating_system_y,restroom_water,sewage_connection,sewage_issues,water_supply_issues,restroom_lighting,restroom_pathway,dining_condition,boundary_wall,repairs_done,earthquake_safety,distance_to_school,modern_standards,satisfaction,outdoor_restroom_material,outdoor_restroom_condition,indoor_restroom_condition,infrastructure_score,need_category,latitude,longitude,predicted_need_Category
1,Samarkand region,Bulungur district,1-sonli ixtisoslashtirilgan davlat umumta’lim maktabi,76.58,0.99,1.0,0.0,0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.7,1.0,0.4,0.5,1.0,1.0,0,1,0.0,0.643835616438356,0.8,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.0,0.5,1.0,0.0,0.7,0.7,0.0,0.0,1.0,1.0,0.8,1.0,0.6,1.0,1.0,1.0,1.0,0.7,1.0,1.0,0.7125,YELLOW,39.7573054,67.27287,YELLOW
2,Samarkand region,Bulungur district,10-sonli umumiy o'rta ta'lim maktabi,80.57,0.93,1.0,0.0,0,0.0,1.0,0.5,1.0,0.8,1.0,1.0,1.0,1.0,0.7,1.0,0.4,1.0,1.0,1.0,0,1,0.0,0.595890410958904,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.7,0.7,0.0,0.0,1.0,1.0,0.0,0.5,0.8,1.0,0.8,1.0,1.0,0.8,1.0,1.0,0.784375,YELLOW,39.7573054,67.27287,YELLOW
3,Samarkand region,Bulungur district,11-sonli umumiy o'rta ta'lim maktabi,81.6,0.91,1.0,0.0,1,0.0,1.0,0.5,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.5,1.0,1.0,0,1,0.0,0.6506849315068493,0.8,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.7,0.7,0.0,0.0,1.0,1.0,0.4,0.5,0.8,1.0,1.0,1.0,1.0,0.8,1.0,1.0,0.765625,YELLOW,39.7573054,67.27287,YELLOW
4,Samarkand region,Bulungur district,12-sonli umumiy o'rta ta'lim maktabi,69.32,0.98,1.0,0.0,1,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,0.5,1.0,0,1,0.0,0.732876712328767,0.8,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.7,0.0,0.0,0.0,1.0,1.0,0.4,0.5,0.8,1.0,0.8,1.0,1.0,0.8,1.0,1.0,0.7437499999999999,GREEN,39.7573054,67.27287,GREEN
5,Samarkand region,Bulungur district,13-сонли умумий ўрта таълим мактаби,68.81,0.97,1.0,0.0,1,0.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.3,1.0,1.0,0.4,1.0,1.0,1.0,0,1,0.0,0.6506849315068493,0.8,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.7,0.7,0.0,0.0,1.0,1.0,0.0,0.5,0.0,1.0,0.8,1.0,1.0,0.8,1.0,1.0,0.753125,YELLOW,39.7573054,67.27287,YELLOW
6,Samarkand region,Bulungur district,14-сонли умумий ўрта таълим мактаби,63.82,0.89,1.0,0.0,1,0.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.7,1.0,0.4,1.0,1.0,1.0,0,1,0.3,0.6986301369863013,0.8,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.7,0.7,0.0,0.0,1.0,1.0,0.0,0.5,0.8,1.0,0.8,1.0,1.0,0.8,1.0,0.3,0.73125,YELLOW,39.7573054,67.27287,YELLOW
7,Samarkand region,Bulungur district,15-сонли умумий ўрта таълим мактаби,75.93,0.99,1.0,0.0,1,1.0,1.0,0.5,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,0.5,1.0,0,1,0.0,0.719178082191781,0.8,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.7,0.7,0.0,0.0,1.0,1.0,0.0,0.5,0.8,1.0,0.8,1.0,1.0,0.8,1.0,1.0,0.778125,GREEN,39.7573054,67.27287,GREEN
8,Samarkand region,Bulungur district,16-sonli umumiy o'rta ta'lim maktabi,76.71,0.98,0.5,0.0,1,1.0,1.0,0.5,1.0,0.8,1.0,1.0,1.0,1.0,0.7,1.0,0.4,0.5,1.0,1.0,0,1,0.0,0.6643835616438355,0.8,1.0,0.8,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.5,0.0,1.0,1.0,1.0,0.0,0.7,0.7,0.0,0.0,1.0,1.0,0.0,1.0,0.6,1.0,0.8,1.0,1.0,0.8,1.0,1.0,0.7406250000000001,YELLOW,39.7573054,67.27287,YELLOW
9,Samarkand region,Bulungur district,17-сонли умумий ўрта таълим мактаби,68.44,0.97,0.5,0.0,0,0.0,1.0,0.5,1.0,0.8,1.0,1.0,1.0,1.0,0.7,1.0,0.4,0.5,1.0,1.0,0,1,0.0,0.5273972602739726,0.8,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,0.0,0.0,0.5,0.5,1.0,0.0,0.7,0.0,0.0,0.0,0.0,1.0,0.4,0.5,0.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,0.63125,RED,39.7573054,67.27287,RED
10,Samarkand region,Bulungur district,18-сонли умумий ўрта таълим мактаби,107.5,0.21,0.5,1.0,0,0.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.5,1.0,1.0,0,1,0.0,0.5616438356164383,0.8,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7,0.0,0.0,0.0,1.0,1.0,0.8,0.0,1.0,1.0,0.8,1.0,1.0,0.7,1.0,1.0,0.8,RED,39.7573054,67.27287,RED
